ID,Name,Type,Date / Period,Location,Created By / Associated With,Detailed Historical Background,Additional Notes / Facts,Museum / Location,Discovered or Created by,Image_URL
740,Bronze mirror with engraved myth scene (Roman provincial),Artifact / Object,Greco-Roman period (332 BC – 4th century AD),,,"Bronze mirror with engraved myth scene (Roman provincial) is a compelling relic from the Greco-Roman period (332 BC – 4th century AD), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the Egyptian Museum (Tahrir, Cairo), it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,"Egyptian Museum (Tahrir, Cairo)",Craftsmen and artists active in Alexandria and provincial workshops during the Greco-Roman period (332 BC – 4th century AD),
741,Glass unguentarium with graffiti,Artifact / Object,Greco-Roman period (332 BC – 4th century AD),,,"Glass unguentarium with graffiti is a compelling relic from the Greco-Roman period (332 BC – 4th century AD), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the National Museum (Alexandria modern exhibits), it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,National Museum (Alexandria modern exhibits),Craftsmen and artists active in Alexandria and provincial workshops during the Greco-Roman period (332 BC – 4th century AD),
742,Terracotta funerary figurine of Osiris-Apis syncretism,Artifact / Object,Greco-Roman period (332 BC – 4th century AD),,,"Terracotta funerary figurine of Osiris-Apis syncretism is a compelling relic from the Greco-Roman period (332 BC – 4th century AD), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the Kom el-Dikka Archaeological Park (Alexandria), it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,Kom el-Dikka Archaeological Park (Alexandria),Craftsmen and artists active in Alexandria and provincial workshops during the Greco-Roman period (332 BC – 4th century AD),
743,Roman oil lamp with gladiatorial scene,Artifact / Object,Greco-Roman period (332 BC – 4th century AD),,,"Roman oil lamp with gladiatorial scene is a compelling relic from the Greco-Roman period (332 BC – 4th century AD), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the Fayoum Regional Museum, it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,Fayoum Regional Museum,Craftsmen and artists active in Alexandria and provincial workshops during the Greco-Roman period (332 BC – 4th century AD),
744,Marble relief of a banquet scene (Hellenistic),Artifact / Object,Hellenistic to Ptolemaic period (4th–1st centuries BC),,,"Marble relief of a banquet scene (Hellenistic) is a compelling relic from the Hellenistic to Ptolemaic period (4th–1st centuries BC), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the Coptic Museum (Coptic Cairo, Cairo), it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,"Coptic Museum (Coptic Cairo, Cairo)",Craftsmen and artists active in Alexandria and provincial workshops during the Hellenistic to Ptolemaic period (4th–1st centuries BC),
745,Bronze coin: Ptolemy II tetradrachm,Artifact / Object,Greco-Roman period (332 BC – 4th century AD),,,"Bronze coin: Ptolemy II tetradrachm is a compelling relic from the Greco-Roman period (332 BC – 4th century AD), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the Kom el-Dikka Archaeological Park (Alexandria), it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,Kom el-Dikka Archaeological Park (Alexandria),Craftsmen and artists active in Alexandria and provincial workshops during the Greco-Roman period (332 BC – 4th century AD),
746,Bronze statuette of Hermes-Mercury (travel patron),Artifact / Object,Hellenistic to Ptolemaic period (4th–1st centuries BC),,,"Bronze statuette of Hermes-Mercury (travel patron) is a compelling relic from the Hellenistic to Ptolemaic period (4th–1st centuries BC), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the Egyptian Museum (Tahrir, Cairo), it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,"Egyptian Museum (Tahrir, Cairo)",Craftsmen and artists active in Alexandria and provincial workshops during the Hellenistic to Ptolemaic period (4th–1st centuries BC),
747,Painted wooden mummy mask with encaustic technique (Fayum style),Artifact / Object,Roman-Egyptian (1st–3rd centuries AD),,,"Painted wooden mummy mask with encaustic technique (Fayum style) is a compelling relic from the Roman-Egyptian (1st–3rd centuries AD), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the Alexandria National Museum, it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,Alexandria National Museum,Craftsmen and artists active in Alexandria and provincial workshops during the Roman-Egyptian (1st–3rd centuries AD),
748,Silver diadem with laurel motifs (Hellenistic royal),Artifact / Object,Hellenistic to Ptolemaic period (4th–1st centuries BC),,,"Silver diadem with laurel motifs (Hellenistic royal) is a compelling relic from the Hellenistic to Ptolemaic period (4th–1st centuries BC), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the Luxor Museum (Luxor), it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,Luxor Museum (Luxor),Craftsmen and artists active in Alexandria and provincial workshops during the Hellenistic to Ptolemaic period (4th–1st centuries BC),
749,Terracotta votive of Harpocrates (child god),Artifact / Object,Greco-Roman period (332 BC – 4th century AD),,,"Terracotta votive of Harpocrates (child god) is a compelling relic from the Greco-Roman period (332 BC – 4th century AD), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the Fayoum Regional Museum, it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,Fayoum Regional Museum,Craftsmen and artists active in Alexandria and provincial workshops during the Greco-Roman period (332 BC – 4th century AD),
750,Inscribed limestone block from an Alexandrian temple,Artifact / Object,Greco-Roman period (332 BC – 4th century AD),,,"Inscribed limestone block from an Alexandrian temple is a compelling relic from the Greco-Roman period (332 BC – 4th century AD), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the Egyptian Museum (Tahrir, Cairo), it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,"Egyptian Museum (Tahrir, Cairo)",Craftsmen and artists active in Alexandria and provincial workshops during the Greco-Roman period (332 BC – 4th century AD),
751,Roman-period amphora with titling and stamps,Artifact / Object,Greco-Roman period (332 BC – 4th century AD),,,"Roman-period amphora with titling and stamps is a compelling relic from the Greco-Roman period (332 BC – 4th century AD), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the National Museum (Alexandria modern exhibits), it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,National Museum (Alexandria modern exhibits),Craftsmen and artists active in Alexandria and provincial workshops during the Greco-Roman period (332 BC – 4th century AD),
752,Ptolemaic faience plaque with royal name,Artifact / Object,Hellenistic to Ptolemaic period (4th–1st centuries BC),,,"Ptolemaic faience plaque with royal name is a compelling relic from the Hellenistic to Ptolemaic period (4th–1st centuries BC), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the British Museum (items on loan/exchange noted), it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,British Museum (items on loan/exchange noted),Craftsmen and artists active in Alexandria and provincial workshops during the Hellenistic to Ptolemaic period (4th–1st centuries BC),
753,Stone funerary altar with Greek inscription,Artifact / Object,Greco-Roman period (332 BC – 4th century AD),,,"Stone funerary altar with Greek inscription is a compelling relic from the Greco-Roman period (332 BC – 4th century AD), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the Kom el-Dikka Archaeological Park (Alexandria), it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,Kom el-Dikka Archaeological Park (Alexandria),Craftsmen and artists active in Alexandria and provincial workshops during the Greco-Roman period (332 BC – 4th century AD),
754,Bronze surgical instruments set (Roman medical kit),Artifact / Object,Greco-Roman period (332 BC – 4th century AD),,,"Bronze surgical instruments set (Roman medical kit) is a compelling relic from the Greco-Roman period (332 BC – 4th century AD), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the Alexandria National Museum, it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,Alexandria National Museum,Craftsmen and artists active in Alexandria and provincial workshops during the Greco-Roman period (332 BC – 4th century AD),
755,Bronze stylus set (scribal equipment),Artifact / Object,Greco-Roman period (332 BC – 4th century AD),,,"Bronze stylus set (scribal equipment) is a compelling relic from the Greco-Roman period (332 BC – 4th century AD), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the Luxor Museum (Luxor), it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,Luxor Museum (Luxor),Craftsmen and artists active in Alexandria and provincial workshops during the Greco-Roman period (332 BC – 4th century AD),
756,Roman glass bowl with rosette base,Artifact / Object,Greco-Roman period (332 BC – 4th century AD),,,"Roman glass bowl with rosette base is a compelling relic from the Greco-Roman period (332 BC – 4th century AD), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the Luxor Museum (Luxor), it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,Luxor Museum (Luxor),Craftsmen and artists active in Alexandria and provincial workshops during the Greco-Roman period (332 BC – 4th century AD),
757,Faience offering table miniature (domestic cult),Artifact / Object,Greco-Roman period (332 BC – 4th century AD),,,"Faience offering table miniature (domestic cult) is a compelling relic from the Greco-Roman period (332 BC – 4th century AD), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the British Museum (items on loan/exchange noted), it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,British Museum (items on loan/exchange noted),Craftsmen and artists active in Alexandria and provincial workshops during the Greco-Roman period (332 BC – 4th century AD),
758,Lead sling-bullet with Greek inscription,Artifact / Object,Greco-Roman period (332 BC – 4th century AD),,,"Lead sling-bullet with Greek inscription is a compelling relic from the Greco-Roman period (332 BC – 4th century AD), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the Catacombs of Kom el-Shoqafa (Alexandria), it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,Catacombs of Kom el-Shoqafa (Alexandria),Craftsmen and artists active in Alexandria and provincial workshops during the Greco-Roman period (332 BC – 4th century AD),
759,Papyrus letter with commercial transactions (Roman Egypt),Artifact / Object,Greco-Roman period (332 BC – 4th century AD),,,"Papyrus letter with commercial transactions (Roman Egypt) is a compelling relic from the Greco-Roman period (332 BC – 4th century AD), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the Fayoum Archaeological Site Collections (Hawara/Al-Fayoum), it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,Fayoum Archaeological Site Collections (Hawara/Al-Fayoum),Craftsmen and artists active in Alexandria and provincial workshops during the Greco-Roman period (332 BC – 4th century AD),
760,Marble funerary portrait with painted details,Artifact / Object,Roman-Egyptian (1st–3rd centuries AD),,,"Marble funerary portrait with painted details is a compelling relic from the Roman-Egyptian (1st–3rd centuries AD), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the Alexandria National Museum, it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,Alexandria National Museum,Craftsmen and artists active in Alexandria and provincial workshops during the Roman-Egyptian (1st–3rd centuries AD),
761,Bronze votive plaque showing the Nile goddess,Artifact / Object,Greco-Roman period (332 BC – 4th century AD),,,"Bronze votive plaque showing the Nile goddess is a compelling relic from the Greco-Roman period (332 BC – 4th century AD), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the Egyptian Museum (Tahrir, Cairo), it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,"Egyptian Museum (Tahrir, Cairo)",Craftsmen and artists active in Alexandria and provincial workshops during the Greco-Roman period (332 BC – 4th century AD),
762,Bronze horse bit with embossed decoration (military),Artifact / Object,Greco-Roman period (332 BC – 4th century AD),,,"Bronze horse bit with embossed decoration (military) is a compelling relic from the Greco-Roman period (332 BC – 4th century AD), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the Saqqara Museum (Saqqara), it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,Saqqara Museum (Saqqara),Craftsmen and artists active in Alexandria and provincial workshops during the Greco-Roman period (332 BC – 4th century AD),
763,Terracotta theatrical mask (stage use),Artifact / Object,Greco-Roman period (332 BC – 4th century AD),,,"Terracotta theatrical mask (stage use) is a compelling relic from the Greco-Roman period (332 BC – 4th century AD), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the Alexandria National Museum, it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,Alexandria National Museum,Craftsmen and artists active in Alexandria and provincial workshops during the Greco-Roman period (332 BC – 4th century AD),
764,Silver cosmetic mirror with lion handle,Artifact / Object,Greco-Roman period (332 BC – 4th century AD),,,"Silver cosmetic mirror with lion handle is a compelling relic from the Greco-Roman period (332 BC – 4th century AD), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the Luxor Museum (Luxor), it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,Luxor Museum (Luxor),Craftsmen and artists active in Alexandria and provincial workshops during the Greco-Roman period (332 BC – 4th century AD),
765,Coptic inscribed iconostasis panel (carved wood),Artifact / Object,Late Antique to Medieval Coptic period (4th–12th centuries AD),,,"Coptic inscribed iconostasis panel (carved wood) is a compelling relic from the Late Antique to Medieval Coptic period (4th–12th centuries AD), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the Greco-Roman Museum (Alexandria), it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,Greco-Roman Museum (Alexandria),Craftsmen and artists active in Alexandria and provincial workshops during the Late Antique to Medieval Coptic period (4th–12th centuries AD),
766,Gold funerary earring set (Roman Egypt elite),Artifact / Object,Greco-Roman period (332 BC – 4th century AD),,,"Gold funerary earring set (Roman Egypt elite) is a compelling relic from the Greco-Roman period (332 BC – 4th century AD), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the Luxor Museum (Luxor), it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,Luxor Museum (Luxor),Craftsmen and artists active in Alexandria and provincial workshops during the Greco-Roman period (332 BC – 4th century AD),
767,Wooden reliquary box with Coptic crosses,Artifact / Object,Late Antique to Medieval Coptic period (4th–12th centuries AD),,,"Wooden reliquary box with Coptic crosses is a compelling relic from the Late Antique to Medieval Coptic period (4th–12th centuries AD), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the Catacombs of Kom el-Shoqafa (Alexandria), it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,Catacombs of Kom el-Shoqafa (Alexandria),Craftsmen and artists active in Alexandria and provincial workshops during the Late Antique to Medieval Coptic period (4th–12th centuries AD),
768,Painted panel icon of Saint Mercurius (Coptic Cairo find),Artifact / Object,Late Antique to Medieval Coptic period (4th–12th centuries AD),,,"Painted panel icon of Saint Mercurius (Coptic Cairo find) is a compelling relic from the Late Antique to Medieval Coptic period (4th–12th centuries AD), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the National Museum of Egyptian Civilization (NMEC, Fustat), it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,"National Museum of Egyptian Civilization (NMEC, Fustat)",Craftsmen and artists active in Alexandria and provincial workshops during the Late Antique to Medieval Coptic period (4th–12th centuries AD),
769,Glass mosaic tesserae panel fragment (late antique),Artifact / Object,Greco-Roman period (332 BC – 4th century AD),,,"Glass mosaic tesserae panel fragment (late antique) is a compelling relic from the Greco-Roman period (332 BC – 4th century AD), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the British Museum (items on loan/exchange noted), it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,British Museum (items on loan/exchange noted),Craftsmen and artists active in Alexandria and provincial workshops during the Greco-Roman period (332 BC – 4th century AD),
770,Bronze door knocker with Gorgoneion (protective motif),Artifact / Object,Greco-Roman period (332 BC – 4th century AD),,,"Bronze door knocker with Gorgoneion (protective motif) is a compelling relic from the Greco-Roman period (332 BC – 4th century AD), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the Egyptian Museum (Tahrir, Cairo), it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,"Egyptian Museum (Tahrir, Cairo)",Craftsmen and artists active in Alexandria and provincial workshops during the Greco-Roman period (332 BC – 4th century AD),
771,Statue base with dedicatory Greek inscription,Artifact / Object,Greco-Roman period (332 BC – 4th century AD),,,"Statue base with dedicatory Greek inscription is a compelling relic from the Greco-Roman period (332 BC – 4th century AD), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the Coptic Museum (Coptic Cairo, Cairo), it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,"Coptic Museum (Coptic Cairo, Cairo)",Craftsmen and artists active in Alexandria and provincial workshops during the Greco-Roman period (332 BC – 4th century AD),
772,Lead weight with Ptolemaic standard marks,Artifact / Object,Hellenistic to Ptolemaic period (4th–1st centuries BC),,,"Lead weight with Ptolemaic standard marks is a compelling relic from the Hellenistic to Ptolemaic period (4th–1st centuries BC), rescued from archaeological contexts that once teemed with Mediterranean and Nile life. Its materials and craftsmanship tell a layered story: the object bears marks of Greek, Roman and Egyptian visual languages blending into a unique local expression. Found in tombs, villa dumps, temple caches or monastic stores, the piece offers archaeologists a direct line to daily rituals, devotional choices and trade networks that connected Egypt to the wider ancient world. Today, displayed in the Minya Museum (Minya), it invites visitors to imagine the people who touched it — worshippers, merchants, scribes, and pilgrims — while conservators and scholars continue to study its pigments, inscriptions and social meanings.",,Minya Museum (Minya),Craftsmen and artists active in Alexandria and provincial workshops during the Hellenistic to Ptolemaic period (4th–1st centuries BC),
